Season,Seed,Team,Slot68,Slot64,Slot32,Slot16,Slot8,Slot4,Slot2,Roundof68,Roundof64,Roundof32,Sweet16,Elite8,Final4,Championship2
2016,W01,1314,,9,73,105,121,129,133,,5,37,53,61,65,67
2016,W02,1462,,23,80,108,122,129,133,,6,38,54,61,65,67
2016,W03,1452,,19,78,107,122,129,133,,7,39,54,61,65,67
2016,W04,1246,,15,76,106,121,129,133,,8,40,53,61,65,67
2016,W05,1231,,13,75,106,121,129,133,,9,40,53,61,65,67
2016,W06,1323,,17,77,107,122,129,133,,10,39,54,61,65,67
2016,W07,1458,,21,79,108,122,129,133,,11,38,54,61,65,67
2016,W08,1425,,11,74,105,121,129,133,,12,37,53,61,65,67
2016,W09,1344,,12,74,105,121,129,133,,12,37,53,61,65,67
2016,W10,1338,,22,79,108,122,129,133,,11,38,54,61,65,67
2016,W11a,1276,1,18,77,107,122,129,133,1,10,39,54,61,65,67
2016,W11b,1409,2,18,77,107,122,129,133,1,10,39,54,61,65,67
2016,W12,1151,,14,75,106,121,129,133,,9,40,53,61,65,67
2016,W13,1392,,16,76,106,121,129,133,,8,40,53,61,65,67
2016,W14,1372,,20,78,107,122,129,133,,7,39,54,61,65,67
2016,W15,1451,,24,80,108,122,129,133,,6,38,54,61,65,67
2016,W16a,1192,3,10,73,105,121,129,133,2,5,37,53,61,65,67
2016,W16b,1195,4,10,73,105,121,129,133,2,5,37,53,61,65,67
2016,X01,1438,,25,81,109,123,130,133,,13,41,55,62,65,67
2016,X02,1277,,39,88,112,124,130,133,,14,42,56,62,65,67
2016,X03,1428,,35,86,111,124,130,133,,15,43,56,62,65,67
2016,X04,1235,,31,84,110,123,130,133,,16,44,55,62,65,67
2016,X05,1345,,29,83,110,123,130,133,,17,44,55,62,65,67
2016,X06,1371,,33,85,111,124,130,133,,18,43,56,62,65,67
2016,X07,1173,,37,87,112,124,130,133,,19,42,56,62,65,67
2016,X08,1403,,27,82,109,123,130,133,,20,41,55,62,65,67
2016,X09,1139,,28,82,109,123,130,133,,20,41,55,62,65,67
2016,X10,1393,,38,87,112,124,130,133,,19,42,56,62,65,67
2016,X11,1211,,34,85,111,124,130,133,,18,43,56,62,65,67
2016,X12,1114,,30,83,110,123,130,133,,17,44,55,62,65,67
2016,X13,1233,,32,84,110,123,130,133,,16,44,55,62,65,67
2016,X14,1201,,36,86,111,124,130,133,,15,43,56,62,65,67
2016,X15,1292,,40,88,112,124,130,133,,14,42,56,62,65,67
2016,X16,1214,,26,81,109,123,130,133,,13,41,55,62,65,67
2016,Y01,1242,,41,89,113,125,131,134,,21,45,57,63,66,67
2016,Y02,1437,,55,96,116,126,131,134,,22,46,58,63,66,67
2016,Y03,1274,,51,94,115,126,131,134,,23,47,58,63,66,67
2016,Y04,1143,,47,92,114,125,131,134,,24,48,57,63,66,67
2016,Y05,1268,,45,91,114,125,131,134,,25,48,57,63,66,67
2016,Y06,1112,,49,93,115,126,131,134,,26,47,58,63,66,67
2016,Y07,1234,,53,95,116,126,131,134,,27,46,58,63,66,67
2016,Y08,1160,,43,90,113,125,131,134,,28,45,57,63,66,67
2016,Y09,1163,,44,90,113,125,131,134,,28,45,57,63,66,67
2016,Y10,1396,,54,95,116,126,131,134,,27,46,58,63,66,67
2016,Y11a,1435,5,50,93,115,126,131,134,3,26,47,58,63,66,67
2016,Y11b,1455,6,50,93,115,126,131,134,3,26,47,58,63,66,67
2016,Y12,1355,,46,91,114,125,131,134,,25,48,57,63,66,67
2016,Y13,1218,,48,92,114,125,131,134,,24,48,57,63,66,67
2016,Y14,1138,,52,94,115,126,131,134,,23,47,58,63,66,67
2016,Y15,1421,,56,96,116,126,131,134,,22,46,58,63,66,67
2016,Y16,1122,,42,89,113,125,131,134,,21,45,57,63,66,67
2016,Z01,1332,,57,97,117,127,132,134,,29,49,59,64,66,67
2016,Z02,1328,,71,104,120,128,132,134,,30,50,60,64,66,67
2016,Z03,1401,,67,102,119,128,132,134,,31,51,60,64,66,67
2016,Z04,1181,,63,100,118,127,132,134,,32,52,59,64,66,67
2016,Z05,1124,,61,99,118,127,132,134,,33,52,59,64,66,67
2016,Z06,1400,,65,101,119,128,132,134,,34,51,60,64,66,67
2016,Z07,1333,,69,103,120,128,132,134,,35,50,60,64,66,67
2016,Z08,1386,,59,98,117,127,132,134,,36,49,59,64,66,67
2016,Z09,1153,,60,98,117,127,132,134,,36,49,59,64,66,67
2016,Z10,1433,,70,103,120,128,132,134,,35,50,60,64,66,67
2016,Z11,1320,,66,101,119,128,132,134,,34,51,60,64,66,67
2016,Z12,1463,,62,99,118,127,132,134,,33,52,59,64,66,67
2016,Z13,1423,,64,100,118,127,132,134,,32,52,59,64,66,67
2016,Z14,1453,,68,102,119,128,132,134,,31,51,60,64,66,67
2016,Z15,1167,,72,104,120,128,132,134,,30,50,60,64,66,67
2016,Z16a,1221,7,58,97,117,127,132,134,4,29,49,59,64,66,67
2016,Z16b,1380,8,58,97,117,127,132,134,4,29,49,59,64,66,67
