Season,Seed,Team,Slot68,Slot64,Slot32,Slot16,Slot8,Slot4,Slot2,Roundof68,Roundof64,Roundof32,Sweet16,Elite8,Final4,Championship2
2017,W01,1437,,9,73,105,121,129,133,,5,37,53,61,65,67
2017,W02,1181,,23,80,108,122,129,133,,6,38,54,61,65,67
2017,W03,1124,,19,78,107,122,129,133,,7,39,54,61,65,67
2017,W04,1196,,15,76,106,121,129,133,,8,40,53,61,65,67
2017,W05,1438,,13,75,106,121,129,133,,9,40,53,61,65,67
2017,W06,1374,,17,77,107,122,129,133,,10,39,54,61,65,67
2017,W07,1376,,21,79,108,122,129,133,,11,38,54,61,65,67
2017,W08,1458,,11,74,105,121,129,133,,12,37,53,61,65,67
2017,W09,1439,,12,74,105,121,129,133,,12,37,53,61,65,67
2017,W10,1266,,22,79,108,122,129,133,,11,38,54,61,65,67
2017,W11a,1344,1,18,77,107,122,129,133,1,10,39,54,61,65,67
2017,W11b,1425,2,18,77,107,122,129,133,1,10,39,54,61,65,67
2017,W12,1423,,14,75,106,121,129,133,,9,40,53,61,65,67
2017,W13,1190,,16,76,106,121,129,133,,8,40,53,61,65,67
2017,W14,1308,,20,78,107,122,129,133,,7,39,54,61,65,67
2017,W15,1407,,24,80,108,122,129,133,,6,38,54,61,65,67
2017,W16a,1291,3,10,73,105,121,129,133,2,5,37,53,61,65,67
2017,W16b,1309,4,10,73,105,121,129,133,2,5,37,53,61,65,67
2017,X01,1211,,25,81,109,123,130,133,,13,41,55,62,65,67
2017,X02,1112,,39,88,112,124,130,133,,14,42,56,62,65,67
2017,X03,1199,,35,86,111,124,130,133,,15,43,56,62,65,67
2017,X04,1452,,31,84,110,123,130,133,,16,44,55,62,65,67
2017,X05,1323,,29,83,110,123,130,133,,17,44,55,62,65,67
2017,X06,1268,,33,85,111,124,130,133,,18,43,56,62,65,67
2017,X07,1388,,37,87,112,124,130,133,,19,42,56,62,65,67
2017,X08,1321,,27,82,109,123,130,133,,20,41,55,62,65,67
2017,X09,1435,,28,82,109,123,130,133,,20,41,55,62,65,67
2017,X10,1433,,38,87,112,124,130,133,,19,42,56,62,65,67
2017,X11,1462,,34,85,111,124,130,133,,18,43,56,62,65,67
2017,X12,1343,,30,83,110,123,130,133,,17,44,55,62,65,67
2017,X13,1137,,32,84,110,123,130,133,,16,44,55,62,65,67
2017,X14,1195,,36,86,111,124,130,133,,15,43,56,62,65,67
2017,X15,1315,,40,88,112,124,130,133,,14,42,56,62,65,67
2017,X16,1355,,26,81,109,123,130,133,,13,41,55,62,65,67
2017,Z01,1314,,41,89,113,125,131,134,,21,45,57,63,66,67
2017,Z02,1246,,55,96,116,126,131,134,,22,46,58,63,66,67
2017,Z03,1417,,51,94,115,126,131,134,,23,47,58,63,66,67
2017,Z04,1139,,47,92,114,125,131,134,,24,48,57,63,66,67
2017,Z05,1278,,45,91,114,125,131,134,,25,48,57,63,66,67
2017,Z06,1153,,49,93,115,126,131,134,,26,47,58,63,66,67
2017,Z07,1173,,53,95,116,126,131,134,,27,46,58,63,66,67
2017,Z08,1116,,43,90,113,125,131,134,,28,45,57,63,66,67
2017,Z09,1371,,44,90,113,125,131,134,,28,45,57,63,66,67
2017,Z10,1455,,54,95,116,126,131,134,,27,46,58,63,66,67
2017,Z11a,1243,5,50,93,115,126,131,134,3,26,47,58,63,66,67
2017,Z11b,1448,6,50,93,115,126,131,134,3,26,47,58,63,66,67
2017,Z12,1292,,46,91,114,125,131,134,,25,48,57,63,66,67
2017,Z13,1457,,48,92,114,125,131,134,,24,48,57,63,66,67
2017,Z14,1245,,52,94,115,126,131,134,,23,47,58,63,66,67
2017,Z15,1297,,56,96,116,126,131,134,,22,46,58,63,66,67
2017,Z16,1411,,42,89,113,125,131,134,,21,45,57,63,66,67
2017,Y01,1242,,57,97,117,127,132,134,,29,49,59,64,66,67
2017,Y02,1257,,71,104,120,128,132,134,,30,50,60,64,66,67
2017,Y03,1332,,67,102,119,128,132,134,,31,51,60,64,66,67
2017,Y04,1345,,63,100,118,127,132,134,,32,52,59,64,66,67
2017,Y05,1235,,61,99,118,127,132,134,,33,52,59,64,66,67
2017,Y06,1166,,65,101,119,128,132,134,,34,51,60,64,66,67
2017,Y07,1276,,69,103,120,128,132,134,,35,50,60,64,66,67
2017,Y08,1274,,59,98,117,127,132,134,,36,49,59,64,66,67
2017,Y09,1277,,60,98,117,127,132,134,,36,49,59,64,66,67
2017,Y10,1329,,70,103,120,128,132,134,,35,50,60,64,66,67
2017,Y11,1348,,66,101,119,128,132,134,,34,51,60,64,66,67
2017,Y12,1305,,62,99,118,127,132,134,,33,52,59,64,66,67
2017,Y13,1436,,64,100,118,127,132,134,,32,52,59,64,66,67
2017,Y14,1233,,68,102,119,128,132,134,,31,51,60,64,66,67
2017,Y15,1240,,72,104,120,128,132,134,,30,50,60,64,66,67
2017,Y16a,1300,7,58,97,117,127,132,134,4,29,49,59,64,66,67
2017,Y16b,1413,8,58,97,117,127,132,134,4,29,49,59,64,66,67
